trip_id,date,route_id,driver_id,bus_id,passengers,delay_min,revenue_usd
1,2023-12-19,1,72,93,8,999.0,1830.24
2,05-21-2023,2,130,68,68,999.0,1821.4
3,11-12-2022,16,138,62,65,,1817.73
4,2023-08-17,6,108,27,65,10.0,405.29
5,27/12/2024,24,107,67,88,,1653.09
6,2024-05-15,6,23,2,20,120.0,880.91
7,2023-06-08,5,8,85,21,-5.0,
8,2023-06-09,13,72,1,84,0.0,1351.7
9,2024-07-29,15,34,15,90,120.0,1258.09
10,2024-08-06,1,18,65,27,,33.15
11,31/07/2023,24,36,81,40,999.0,158.67
12,08/05/2023,10,44,31,37,5.0,203.83
13,13/09/2024,11,21,26,42,10.0,1729.57
14,01/11/2022,1,109,11,70,999.0,328.08
15,2024-11-20,14,102,35,76,10.0,720.44
16,2023-11-16,3,171,10,16,10.0,72.83
17,2022-11-12,18,130,86,88,999.0,1014.11
18,10-11-2022,1,66,1,77,5.0,1176.64
19,12/02/2022,9,161,46,28,999.0,
20,04-05-2022,7,130,86,56,15.0,
21,17/08/2024,12,38,55,84,999.0,285.01
22,10-04-2022,4,170,4,86,120.0,290.94
23,02-05-2024,8,179,33,56,0.0,1769.75
24,28/01/2023,10,103,71,44,999.0,1636.26
25,06-17-2024,10,128,44,73,999.0,1689.22
26,21/12/2024,14,40,6,57,,512.21
27,02-25-2024,20,45,11,22,10.0,640.73
28,2022-11-13,3,127,80,76,120.0,220.64
29,04-30-2024,15,194,20,13,0.0,
30,12-29-2023,17,65,57,66,10.0,587.13
31,2023-07-04,10,80,25,35,5.0,530.62
32,28/01/2023,1,143,37,76,10.0,1982.27
33,11/08/2024,11,34,73,26,,925.98
34,2024-02-11,9,2,13,67,15.0,338.78
35,2024-12-13,22,82,63,82,,1946.6
36,11-20-2023,20,128,92,69,5.0,1886.71
37,01-31-2022,9,162,51,13,15.0,697.37
38,10-10-2023,9,50,30,41,5.0,1854.59
39,2023-05-13,12,107,31,38,0.0,955.75
40,20/12/2023,13,68,68,25,10.0,
41,04-10-2023,12,53,1,85,0.0,
42,2024-08-25,7,132,35,65,15.0,1568.27
43,05-31-2023,1,77,44,83,0.0,471.41
